GEO_ID,state,county,year,Median Annual Household Income,Median Monthly Housing Costs,Median Value for Owner Occupied Housing Units,Percent White Collar,Percent College Graduate,geo11
1400000US17031062700,Illinois,Cook County,2018,168352,2228,610100,0.6460883448642896,0.8353658536585366,17031062700
1400000US17031803606,Illinois,Cook County,2018,54513,1067,103700,0.16862586137008512,0.22563519150549868,17031803606
1400000US17031801605,Illinois,Cook County,2018,138992,1739,537700,0.6331078392359729,0.744399905682622,17031801605
1400000US17031670700,Illinois,Cook County,2018,35074,1057,94200,0.06774193548387097,0.07738095238095238,17031670700
1400000US17031830006,Illinois,Cook County,2018,54575,1141,133800,0.34265734265734266,0.4533724340175953,17031830006
1400000US17031830201,Illinois,Cook County,2018,49719,1121,151900,0.3213389121338912,0.39110005527915975,17031830201
1400000US17031808800,Illinois,Cook County,2018,134583,1901,674200,0.7164093767867353,0.8835616438356164,17031808800
1400000US17031809200,Illinois,Cook County,2018,48648,1274,211900,0.23354774863928748,0.30047106325706596,17031809200
1400000US17031810501,Illinois,Cook County,2018,73429,967,293400,0.36729857819905215,0.3588709677419355,17031810501
1400000US17031811100,Illinois,Cook County,2018,48672,946,201200,0.23741007194244604,0.2696917808219178,17031811100
1400000US17031811200,Illinois,Cook County,2018,63495,1540,206800,0.25696969696969696,0.3013424735789774,17031811200
1400000US17031812500,Illinois,Cook County,2018,62500,1176,415700,0.5967926689576174,0.6410149750415973,17031812500
1400000US17031812700,Illinois,Cook County,2018,62800,1369,224000,0.5705196182396607,0.7250303275374039,17031812700
1400000US17031814000,Illinois,Cook County,2018,46225,988,151400,0.12669471715755026,0.1082345601996257,17031814000
1400000US17031815000,Illinois,Cook County,2018,58015,1186,189700,0.1505892623308599,0.32217422606191504,17031815000
1400000US17031817200,Illinois,Cook County,2018,50167,1176,132600,0.26349678058444775,0.24417459796521168,17031817200
1400000US17031815400,Illinois,Cook County,2018,53393,1004,228800,0.3995893223819302,0.43729520405123623,17031815400
1400000US17031816600,Illinois,Cook County,2018,57880,1068,118800,0.08611764705882353,0.12954186413902052,17031816600
1400000US17031817101,Illinois,Cook County,2018,46234,1081,112700,0.18103074924209614,0.2803322456244438,17031817101
1400000US17031817400,Illinois,Cook County,2018,59926,1160,173300,0.2104051565377532,0.20752427184466019,17031817400
1400000US17031819900,Illinois,Cook County,2018,179338,2320,633100,0.7236662106703147,0.8237801989578399,17031819900
1400000US17031820501,Illinois,Cook County,2018,65016,1217,201500,0.2416298168035376,0.24846248462484624,17031820501
1400000US17031822400,Illinois,Cook County,2018,41902,1120,173800,0.2221737232649498,0.23797338792221084,17031822400
1400000US17031822802,Illinois,Cook County,2018,64646,1183,211900,0.4317889317889318,0.4957805907172996,17031822802
1400000US17031823303,Illinois,Cook County,2018,63065,1202,166200,0.2930298719772404,0.23434767401189227,17031823303
1400000US17031823604,Illinois,Cook County,2018,86944,1544,279600,0.46072423398328693,0.5077893175074184,17031823604
1400000US17031803608,Illinois,Cook County,2018,67773,1445,489100,0.4187938288920056,0.5988611820145298,17031803608
1400000US17031804000,Illinois,Cook County,2018,72627,1422,216200,0.3587558585428206,0.4296829971181556,17031804000
1400000US17031804306,Illinois,Cook County,2018,64310,1384,160300,0.2187017001545595,0.23076923076923078,17031804306
1400000US17031804603,Illinois,Cook County,2018,64721,1344,261900,0.4881477398015435,0.4897630549804463,17031804603
1400000US17031804712,Illinois,Cook County,2018,95949,1613,294400,0.46010464355788094,0.506870624837957,17031804712
1400000US17031804806,Illinois,Cook County,2018,73313,1540,189000,0.17316209034543845,0.26473029045643154,17031804806
1400000US17031804807,Illinois,Cook County,2018,80957,1431,227600,0.3857627118644068,0.372041827187672,17031804807
